,Platform,Category,Title,DirectorName,DirectorGender,DirectorAge,Actors,ActorGender,ActorAge,Country,DateAdded,ReleaseYear,Rating,Duration,GenreType,Description
5464,Netflix,Movie,Liss Pereira: Reteniendo lí__quidos,Peter DeLuise,M,53,Kurt Fuller,M,66,Brazil,10-Apr-19,2019,TV-14,59 min,Stand-Up Comedy,"A pregnant Liss Pereira shares hilariously uncomfortable truths about sex, love, attraction and the lies we tell in modern relationships."
6135,Netflix,TV Show,Abnormal Summit,Charlie Haskell,M,62,Takayo Fischer,F,87,South Korea,4-Aug-17,2017,TV-PG,2 Seasons,"International TV Shows, Korean TV Shows, Stand-Up Comedy & Talk Shows","Led by a trio of Korean celebs, a multinational panel of men engage in í_í_Å‹ usually í_í_Å‹ lighthearted debates on issues that surround Korea and beyond."
1469,Netflix,Movie,Kai Po Che!,Koichi Sakamoto,M,49,Missy Peregrym,F,37,India,1-Nov-18,2013,TV-14,120 min,"Dramas, International Movies, Sports Movies",This Bollywood drama tells the story of three best friends who dream of starting a cricket training academy in Ahmedabad for very different reasons.
2000,Netflix,Movie,Bottom of the World,Charlie Vaughn,M,43,Jeff Roop,M,46,"Canada, United States",31-Mar-17,2017,TV-MA,84 min,"Dramas, Independent Movies, Thrillers","En route to a fresh start in Los Angeles, young couple Alex and Scarlett stop over in a sleepy Southwestern town that loosens their grip on reality."
4871,Netflix,Movie,The Congress,Brad Bird,M,62,Eric Balfour,M,43,"Israel, Germany, Poland, Luxembourg, Belgium, France, United States",23-Aug-19,2013,TV-MA,123 min,"Dramas, International Movies, Sci-Fi & Fantasy",Actress Robin Wright plays herself in this surreal drama about a film star who agrees to have her digital image recorded for reuse in future films.
2464,Netflix,Movie,Ms. Mammy,Sandy Chronopoulos,F,43,Nicholas Campbell,M,68,Egypt,6-Jun-19,2012,TV-14,90 min,"Comedies, International Movies",A successful advertising agency executive falls asleep on an airplane and wakes up in an alternate universe as a stay-at-home mom with three kids.
5450,Netflix,Movie,Dabbe 5: Zehr-i Cin,Renny Harlin,M,61,Mila Kunis,F,36,Turkey,12-Apr-19,2014,TV-MA,133 min,"Horror Movies, International Movies","When Dilek becomes haunted by evil spirits and loses control of her body, she seeks the help of a woman with dark secrets to cure her."
2274,Netflix,Movie,Hí__kí__met Kadin 2,Trey Edward Shults,M,31,Channing Tatum,M,40,Turkey,10-Mar-17,2013,TV-14,101 min,"Comedies, International Movies","In 1949, with freedoms threatened, housewife Hí__kí__met is unaware of her future life in politics as she faces off with liar and mayoral hopeful Faruk."
2131,Netflix,Movie,Zubaan,Oskar Santos,M,48,Sean Bean,M,61,India,2-Mar-19,2015,TV-MA,111 min,"Dramas, International Movies, Music & Musicals","A scrappy but poor boy worms his way into a tycoon's dysfunctional family, while facing his fear of music and the truth about his past."
1455,Netflix,Movie,Do Dooni Chaar,Tim Rouhana,M,44,Eddie Redmayne,M,38,India,1-Nov-18,2010,TV-PG,106 min,"Comedies, International Movies","A struggling math teacher holds down a second job to keep his family afloat. But when he receives a wedding invitation, he's determined to attend."
1260,Netflix,Movie,The Ballad of Buster Scruggs,Jota Linares,M,38,Douglas Booth,M,27,United States,16-Nov-18,2018,R,133 min,"Comedies, Dramas","Ranging from absurd to profound, these Western vignettes from the Coen brothers follow the adventures of outlaws and settlers on the American frontier."
446,Netflix,Movie,Cahaya Dari Timur Beta Maluku,Rodrigo Triana,M,32,Tuppence Middleton,F,33,Indonesia,5-Oct-18,2014,TV-14,151 min,"Dramas, International Movies, Sports Movies","After witnessing a childí_í_Œés death during a violent clash, a former soccer player launches a youth team to help local kids avoid further bloodshed."
3944,Netflix,TV Show,Hjí_Å_rdis,Ashish R. Mohan,M,36,Nikki Amuka-Bird,F,44,Denmark,15-Feb-19,2015,TV-14,1 Season,"International TV Shows, TV Comedies, TV Dramas","This miniseries spinoff of ""Rita"" follows teacher Hjí_Å_rdis as she plans a school play on bullying featuring a cast of socially awkward students."
3270,Netflix,Movie,Rudy Habibie,Bobcat Goldthwait,M,57,Christina Cole,F,37,Indonesia,28-Jan-19,2016,TV-14,143 min,"Dramas, International Movies","A biopic that explores the hardships and triumphs of the early life of B. J. Habibie, a transformative president of Indonesia."
4855,Netflix,Movie,Fanatic,Salima Koroma,F,43,James D'Arcy,M,44,United States,24-Aug-19,2019,TV-14,91 min,Thrillers,"When a successful young rap star has an affair with an obsessive fan, his life is turned upside down when she kidnaps him."
1217,Netflix,Movie,The Massively Mixed-Up Middle School Mystery,Syed Ahmad Afzal,M,43,Gugu Mbatha-Raw,F,37,United States,2-Nov-19,2015,TV-G,40 min,"Children & Family Movies, Comedies","After the school principal gets pranked, a curious crew of preteen super sleuths tests their detective skills to solve an underwater ruse."
4202,Netflix,Movie,How High 2,Vishal Bhardwaj,M,54,Jack Nicholson,M,83,United States,31-Dec-19,2019,TV-MA,89 min,Comedies,"When a pair of friends uncover a weed Bible, their magical stash gets stolen, sending them on a pot-fueled quest through Atlanta to find it."
783,Netflix,Movie,Bad Boys II,Tim Burton,M,61,Morgan Freeman,M,82,United States,1-Oct-19,2003,R,147 min,"Action & Adventure, Comedies","In this hyperkinetic sequel, a pair of Miami narcotics cops investigate a Cuban drug kingpin's connection to Florida's influx of Ecstasy."
5418,Netflix,Movie,Bibi & Tina,Ari Sandel,M,45,Sean Hayes,M,49,Germany,15-Apr-17,2014,TV-PG,97 min,"Children & Family Movies, Music & Musicals",Teen witch Bibi and horse-loving Tina face trouble when a posh girl flirts with Tina's boyfriend and a crook sets his greedy eyes on a promising foal.
651,Netflix,Movie,New Money,Callie Khouri,M,62,Beverly Todd,F,73,Nigeria,18-Oct-19,2018,TV-14,107 min,"Dramas, International Movies",An aspiring fashion designer's life is transformed after she discovers sheí_í_Œés the heiress of a billion-dollar empire left by her estranged father.
691,Netflix,Movie,Meghnadbodh Rohoshyo,Jesse V. Johnson,M,48,Alfonso Freeman,M,60,India,15-Oct-18,2017,TV-14,150 min,"Dramas, International Movies","A professor mysteriously vanishes, leaving behind a host of suspects, a shadowy history and a clue: the anonymous birthday gift of a Bengali classic."
791,Netflix,Movie,Crash,Ham Tran,M,46,Rob Morrow,M,57,"United States, Germany",1-Oct-19,2004,R,112 min,"Dramas, Independent Movies","In post-Sept. 11 Los Angeles, tensions erupt when the lives of people from all walks of life converge during a 36-hour period."
3192,Netflix,Movie,The Conjuring,Ham Tran,M,46,Rowena King,F,49,United States,8-Jan-18,2013,R,112 min,"Horror Movies, Thrillers","Based on true events, this spine-chiller tells the story of a New England family who begins having encounters with spirits in their farmhouse."
1161,Netflix,Movie,The Case for Christ,Gerard McMurray,M,41,Christopher Stapleton,M,35,United States,21-Nov-17,2017,TV-PG,113 min,"Dramas, Faith & Spirituality","Bothered by his wife's unyielding belief in Christianity, an investigative reporter sets out to use verifiable facts to poke holes in her faith."
1266,Netflix,Movie,El sendero de la anaconda,Jalil Lespert,M,43,Ian Anthony Dale,M,41,Colombia,15-Nov-19,2019,TV-PG,74 min,"Documentaries, International Movies","In the most remote areas of the Amazon jungle, a writer and his anthropologist friend meet communities who have resisted change for centuries."
5560,Netflix,Movie,Five Nights in Maine,Madhur Bhandarkar,M,51,Richard McGonagle,M,73,United States,1-Apr-17,2015,TV-14,83 min,"Dramas, Independent Movies","After his wife dies in a car accident, a grief-stricken man visits his estranged mother-in-law in Maine, where they try to help each other heal."
5123,Netflix,Movie,Tikli and Laxmi Bomb,Kyle Rideout,M,35,Debbie Reynolds,F,100,India,1-Aug-18,2017,TV-MA,151 min,"Dramas, International Movies",Two frustrated sex workers cut out the middlemen from their business affairs and start a cooperative that's run entirely by women.
4930,Netflix,Movie,Tere Naal Love Ho Gaya,Jeremy Kenyon Lockyer Corbell,M,43,Charles Nelson Reilly,M,100,India,2-Aug-18,2012,TV-PG,127 min,"Comedies, International Movies, Romantic Movies","Mini isn't eager to wed the rich suitor who's been chosen for her, so she stages her own kidnapping and runs off with a man who works for her father."
2799,Netflix,Movie,Skiptrace,Kees Van Oostrum,M,66,Joe Pesci,M,77,"China, Hong Kong, United States",4-Jul-19,2016,PG-13,107 min,"Action & Adventure, Comedies","To capture a crime lord who killed his partner and kidnapped his partner's daughter, a Hong Kong detective teams with a smart aleck American gambler."
1956,Netflix,Movie,Doubt,Rusty Cundieff,M,59,Frank Vincent,M,100,United States,7-Mar-19,2008,PG-13,104 min,"Dramas, Faith & Spirituality","Sister Aloysius begins to have doubts about doting Father Flynn, who seems to have become overly involved in the life of an African American pupil."
5088,Netflix,Movie,Being Napoleon,Darin Scott,M,62,Nicholas Colasanto,M,100,United States,1-Aug-18,2018,TV-14,88 min,Documentaries,"On the 200th anniversary of the Battle of Waterloo, thousands of enthusiasts reenact the epic clash. But there can only be one Napoleon."
4907,Netflix,Movie,Uriyadi 2,Richard Sears,M,100,Theresa Saldana,F,100,India,2-Aug-19,2019,TV-MA,116 min,"Dramas, International Movies","When a chemical plant's poor conditions cause tragedies, an employee leads a protest against the companyí_í_Œés callous owner and local politicians."
3401,Netflix,Movie,The Doll 2,Jung-ah Im,M,54,Mario Gallo,M,100,Indonesia,15-Jan-19,2017,TV-MA,117 min,"Horror Movies, International Movies","A mother uses her deceased daughterí_í_Œés doll as a medium to communicate with her, but the consequences are chilling. The second of the í_í_Û_Dollí_í_Å« films."
2217,Netflix,Movie,Asoka,Seung-uk Jo,M,63,Frank Adonis,M,100,India,15-Mar-17,2001,R,168 min,"Action & Adventure, Dramas, International Movies",This elaborate Bollywood epic dramatizes one man's transformation from a vengeful and cunning warrior into a legendary leader and teacher of Buddhism.
1594,Netflix,Movie,Dany Boon: Des Hauts De France,Abhishek Kapoor,M,48,Joseph Bono,M,89,France,4-May-18,2018,TV-MA,113 min,Stand-Up Comedy,"In an eclectic one-man show, French superstar Dany Boon reflects on his homeland, his first comedy gig and the challenges of parenting hostile teens."
1986,Netflix,Movie,Kid Kulafu,Richard Sears,M,100,Bill Ferguson,M,37,Philippines,4-Mar-19,2015,TV-14,108 min,"Dramas, International Movies, Sports Movies","Growing up in poverty and political turmoil, he found his way out in the ring. The early years of world-famous boxer Manny Pacquiao unfolds in this biopic."
4223,Netflix,Movie,Ramji Londonwaley,Ari Folman,M,57,Ryan Ferguson,M,35,India,31-Dec-19,2005,TV-14,154 min,"Comedies, Dramas, International Movies","A small-town cook moves to London to earn a living, but from his employerí_í_Œés sudden death to the immigration officials on his trail, plans soon go sour."
2401,Netflix,Movie,Yuva,Wael Ihsan,M,75,Mamoru Miyano,M,36,India,1-Mar-18,2004,TV-MA,160 min,"Dramas, International Movies","An accident on a bridge ties together three young men from different social classes, sparking a course of events that will forever alter their lives."
2398,Netflix,Movie,Welcome 2 Karachi,Aubrey Powell,M,73,Takahiro Sakurai,M,45,India,1-Mar-18,2015,TV-MA,124 min,"Comedies, International Movies","Denied a U.S. visa, two dim Indian men decide to sneak into America on a boat. Fate, however, leaves them stranded on a beach í_í_Å‹ in Karachi, Pakistan."
388,Netflix,Movie,Offline - Das leben ist kein bonuslevel,Sermiyan Midyat,M,45,Kana Hanazawa,F,31,Germany,1-Sep-17,2016,TV-MA,89 min,"Action & Adventure, Comedies, International Movies",Competitive gamer Jan finds his life thrown for a loop when his bitter rival hacks his identity just before a high-stakes tournament.
2358,Netflix,Movie,Laal Rang,Mozez Singh,M,51,Tomokazu Sugita,M,39,India,1-Mar-18,2016,TV-14,143 min,"Dramas, International Movies, Thrillers","Eager for cash, Rajesh joins his friend Shankar's blood-theft operation. As Rajesh's greed grows and the cops close in, Shankar is poised to explode."
97,Netflix,Movie,The Sinking Of Van Der Wijck,Habib Faisal,M,65,Yuki Kaji,M,34,Indonesia,28-Sep-18,2013,TV-14,163 min,"Dramas, International Movies, Romantic Movies","When a young man leaves home to fulfill the wishes of his late father, he meets and falls in love with a woman from a very different background."
5383,Netflix,Movie,Dabbe 6: The Return,Joel Coen,M,65,Junichi Suwabe,M,48,Turkey,17-Apr-19,2015,TV-MA,153 min,"Horror Movies, International Movies","A cardiologist tries to pinpoint the cause of her mother's sudden death as her sister, who witnessed it, claims malevolent demons are at play."
605,Netflix,Movie,Eric ldle's What About Dick?,Ethan Coen,M,62,Reina Ueda,F,26,United States,2-Oct-18,2012,TV-MA,81 min,"Comedies, Music & Musicals","In a madcap stage play from Monty Python icon Eric Idle, comic greats perform the decline and fall of the British Empire ... as told through a piano."
4621,Netflix,Movie,Baby Dolls,Angga Dwimas Sasongko,M,34,Ari Ozawa,F,27,India,1-Dec-19,2019,TV-14,127 min,"Comedies, International Movies, Romantic Movies","When two sisters travel from Canada to Punjab to visit their maternal family, they discover an opportunity to mend a broken bond with their grandmother."
2340,Netflix,Movie,Guru,Lars Kaalund,M,55,Daisuke Ono,M,42,India,1-Mar-18,2007,TV-14,155 min,"Dramas, International Movies",Ambitious Gurukant Desai ignores his father's advice and leaves his village to find success in Turkey.
3895,Netflix,Movie,On Body and Soul,Hanung Bramantyo,M,44,Kenta Miyake,M,42,Hungary,2-Feb-18,2017,TV-MA,116 min,"Dramas, International Movies, Romantic Movies",Two shy and socially awkward co-workers in Budapest form a special bond through a mysterious mystic connection that manifests in a dream.
4189,Netflix,Movie,Chupke Chupke,Keith L. Smith,M,35,Kenyu Horiuchi,M,62,India,31-Dec-19,1975,TV-PG,127 min,"Classic Movies, Comedies, International Movies","Jealous of the high regard in which his new wife holds their brother-in-law, a botany professor stages an elaborate prank that will even the score."
2789,Netflix,Movie,Speech & Debate,Will Eisenberg,M,38,Kazuya Nakai,M,52,United States,6-Jul-17,2017,PG-13,96 min,"Comedies, Dramas, Independent Movies","Fed up with the hypocrisy of the adults around them, three creative high school misfits revive an old debate club as a way to fight back."
4278,Netflix,TV Show,Geronimo Stilton,Bruce Leddy,M,45,Kazuhiro Yamaji,M,65,"Italy, Canada, France",31-Dec-17,2011,TV-Y7,1 Season,"Kids' TV, TV Comedies","With the help of brainy and adventurous sidekicks, New Mouse City's favorite journalist investigates mysteries that take him around the world,"
103,Disney Plus,episode,Rescue Squad Mater,John Lasseter,M,63,Nathaniel Parker,M,57,USA,1-Jan-20,2008,Not Rated,36 min,"Animation, Adventure, Comedy",Mater tells Lightning McQueen about his previous job as a Fire Truck.
595,Disney Plus,movie,Pluto's Party,Rob Gibbs,M,55,Larry the Cable Guy,M,57,USA,3-Apr-20,1952,Approved,7 min,"Animation, Short, Comedy, Family","It's Pluto's birthday party, but Mickey's dozen or so nephews seem to be having all the fun. Their present is a wagon so Pluto can pull them; the ""Pin the Tail on Pluto"" game doesn't go ..."
827,Disney Plus,movie,The Rescuers Down Under,Victor Navone,M,49,Pinto Colvig,M,100,USA,12-Nov-19,1990,TV-G,77 min,"Animation, Adventure, Crime, Drama, Family, Fantasy, Mystery","The R.A.S. agents, Miss Bianca and Bernard, race to Australia to save a little boy and a rare golden eagle from a murderous poacher."
857,Disney Plus,movie,The Ugly Dachshund,Milt Schaffer,M,100,James MacDonald,M,59,USA,12-Nov-19,1966,Not Rated,93 min,"Comedy, Family",The Garrisons live with a Great Dane who thinks he's a dainty dachshund. His identity crisis results in an uproarious series of household crises that reduce the Garrisons' house to shambles.
217,Disney Plus,movie,Dolphin Reef,Hendel Butoy,M,61,Bob Newhart,M,90,USA,3-Apr-20,2020,TV-G,77 min,Family,"In ""Dolphin Reef,"" Disneynature dives under the sea to frolic with some of the planet's most engaging animals: dolphins. Echo is a young bottlenose dolphin who can't quite decide if it's ..."
695,Disney Plus,movie,Steamboat Willie,Mike Gabriel,M,65,Eva Gabor,F,100,USA,12-Nov-19,1928,TV-Y7,8 min,"Animation, Short, Comedy, Family, Musical","Mickey Mouse, piloting a steamboat, delights his passenger, Minnie, by making musical instruments out of the menagerie on deck."
24,Disney Plus,movie,Alley Cats Strike,Norman Tokar,M,100,John Candy,M,100,"USA, Canada",12-Nov-19,2000,TV-G,103 min,"Drama, Family, Sport",A group of hip retro teenage outsiders become involved in an interschool bowling rivalry.
7911,Disney Plus,movie,The Little Mermaid: Ariel's Beginning,Keith Scholey,M,62,Tristan Rogers,M,73,USA,12-Nov-19,2008,TV-G,77 min,"Animation, Drama, Family, Fantasy, Musical","In the kingdom of Atlantica where music is forbidden, the youngest daughter of King Triton, named Ariel, discovers her love of an underground music club and sets off to a daring adventure to bring restoration of music back to Atlantica."
322,Disney Plus,movie,Halloweentown High,Ub Iwerks,M,100,Dean Jones,M,100,USA,12-Nov-19,2004,TV-G,82 min,"Comedy, Family, Fantasy",A girl in a magical world bets her family's magic that nothing bad will happen when kids from Halloweentown attend high school in the mortal realm.
909,Disney Plus,movie,Twas the Night,Walt Disney,M,100,Suzanne Pleshette,F,100,USA,12-Nov-19,2001,TV-G,84 min,"Comedy, Family",A mischievous 14-year-old boy and his irresponsible uncle almost ruin Christmas when they decide to take Santa's new high-tech sleigh for a joyride.
114,Disney Plus,movie,Chicken Little,Rod Daniel,M,100,Charles Ruggles,M,100,USA,12-Nov-19,2005,TV-G,81 min,"Animation, Adventure, Comedy, Family, Fantasy, Sci-Fi","After ruining his reputation with the town, a courageous chicken must come to the rescue of his fellow citizens when aliens start an invasion."
336,Disney Plus,movie,Herbie Fully Loaded,Peggy Holmes,F,58,Kelly Thordsen,M,100,USA,12-Nov-19,2005,TV-G,101 min,"Adventure, Comedy, Family, Fantasy, Romance, Sport","Maggie Peyton, the new owner of Herbie, Number 53, the free-wheelin' Volkswagen bug with a mind of its own, puts the car through its paces on the road to becoming a NASCAR competitor."
823,Disney Plus,movie,The Proud Family Movie,Florian Schnell,M,38,Natalie Portman,F,38,USA,12-Nov-19,2005,TV-G,90 min,"Animation, Adventure, Comedy, Family, Fantasy, Sci-Fi","Penny and her family are lured on an all expenses paid vacation where a mad scientist captures them, refusing to let them go because Oscar won't reveal his on of his secret Proud Snacks formulas."
134,Disney Plus,movie,Darby O'Gill and the Little People,Nick Castle,M,72,Walt Disney,M,100,USA,12-Nov-19,1959,Approved,93 min,"Adventure, Family, Fantasy, Romance",A wily old codger matches wits with the King of the Leprechauns and helps play matchmaker for his daughter and the strapping lad who has replaced him as caretaker.
513,Disney Plus,movie,Mickey's Trailer,Mark Dindal,M,59,Kyle Schmid,M,35,USA,12-Nov-19,1938,Not Rated,8 min,"Animation, Short, Adventure, Comedy, Family","Mickey and his friends take a vacation in his house trailer equipped with all the latest modern conveniences. Heading up a steep mountain road with Goofy driving the car, surely nothing can go wrong."
755,Disney Plus,movie,The Country Bears,Angela Robinson,F,56,Robert Ri'chard,M,37,USA,12-Nov-19,2002,TV-G,88 min,"Comedy, Family, Music, Musical",Beary Barrington goes on an adventure to save Country Bear Hall by getting the Country Bears back together for a reunion concert.
349,Disney Plus,movie,"Honey, I Shrunk the Kids",Bruce W. Smith,M,58,Kaley Cuoco,F,34,"USA, Mexico",12-Nov-19,1989,TV-PG,93 min,"Adventure, Comedy, Family, Sci-Fi",The scientist father of a teenage girl and boy accidentally shrinks his and two other neighborhood teens to the size of insects. Now the teens must fight diminutive dangers as the father searches for them.
314,Disney Plus,movie,Gotta Kick It Up!,Robert Stevenson,M,100,Mimi Paley,F,32,USA,12-Nov-19,2002,TV-G,78 min,"Comedy, Drama, Family",A school dance team get a new lease of life thanks to a teacher who lets them in on the secret of Latin rhythms for a big competition.
766,Disney Plus,movie,The Good Dinosaur,Ben Sharpsteen,M,100,Jodi Benson,F,58,USA,12-Nov-19,2015,TV-PG,93 min,"Animation, Adventure, Comedy, Drama, Family, Fantasy","In a world where dinosaurs and humans live side-by-side, an Apatosaurus named Arlo makes an unlikely human friend."
817,Disney Plus,movie,The Prince and the Pauper,Peter Hastings,M,64,Samuel E. Wright,M,73,UK,12-Nov-19,1962,TV-PG,93 min,Adventure,"Two boys, one a prince and one a poor boy, change places."
782,Disney Plus,movie,The Jungle Book: Mowgli's Story,Joe Johnston,M,69,Jim Cummings,M,67,USA,12-Nov-19,1998,TV-G,77 min,"Adventure, Family","Now your whole family can relive Disney's 'The Jungle Book', from Mowgli's point of view."
333,Disney Plus,movie,Herbie Goes Bananas,Renny Harlin,M,61,Sally Field,M,73,USA,12-Nov-19,1980,TV-G,100 min,"Adventure, Comedy, Family, Fantasy",The adorable little VW helps its owners break up a counterfeiting ring in Mexico.
430,Disney Plus,movie,Life with Mikey,Peter Sohn,M,43,Kimberly J. Brown,F,35,USA,12-Nov-19,1993,TV-PG,91 min,"Comedy, Family",A once-popular actor who now runs a talent agency specializing in child acts is trying to discover the next star. He gets more than he bargained for when he recruits a child pickpocket.
726,Disney Plus,movie,The African Lion,Don Chaffey,M,100,Fred Newman,M,68,USA,12-Nov-19,1955,Approved,75 min,"Family, Documentary",The Milotte's spend three years in Africa filming a lion.
625,Disney Plus,movie,Right on Track,Nick Marck,M,61,Judith Hoag,F,51,USA,12-Nov-19,2003,TV-G,89 min,"Biography, Drama, Family",Fact-based drama chronicling the story of two determined sisters who battled the prejudice of a male-dominated sport to become world-class drag racers.
520,Disney Plus,movie,Miracle,Vincent McEveety,M,100,Joey Zimmerman,M,33,"Canada, USA",12-Nov-19,2004,TV-PG,135 min,"Biography, Drama, History, Sport","The true story of Herb Brooks, the player-turned-coach who led the 1980 U.S. Olympic hockey team to victory over the seemingly invincible Soviet squad."
121,Disney Plus,movie,Cloud 9,James Lapine,M,71,Josh Zuckerman,M,35,USA,12-Nov-19,2014,TV-G,85 min,"Action, Adventure, Drama, Family, Sport","A snowboarder takes lessons from a former champion, inspiring him to reach for the stars once again."
787,Disney Plus,movie,The Lion King 2: Simba's Pride,James Algar,M,100,Brenda Grate,F,31,"USA, Australia",12-Nov-19,1998,TV-G,81 min,"Animation, Adventure, Drama, Family, Musical, Romance",Simba's daughter is the key to a resolution of a bitter feud between Simba's pride and the outcast pride led by the mate of Scar.
245,Disney Plus,movie,Eight Below,Duwayne Dunham,M,67,Bryan Cranston,M,64,USA,12-Nov-19,2006,TV-PG,120 min,"Adventure, Drama, Family",Brutal cold forces two Antarctic explorers to leave their team of sled dogs behind as they fend for their survival.
938,Disney Plus,movie,Wizards of Waverly Place: The Movie,Gavin O'Connor,M,55,Jefferson Mappin,M,65,USA,12-Nov-19,2009,TV-G,94 min,"Adventure, Comedy, Drama, Family, Fantasy",A young wizard conjures a spell that puts her family in jeopardy.
294,Disney Plus,movie,Full-Court Miracle,Paul Hoen,M,58,Zach Braff,M,45,USA,12-Nov-19,2003,TV-G,90 min,"Drama, Family, Sport","An African American college basketball star becomes the head coach of a yeshiva's struggling basketball team in Philadelphia, Pennsylvania, after a knee injury forces him to leave the game. Based on the true story of Lamont Carr."
600,Disney Plus,movie,Pollyanna,Darrell Rooney,M,60,Garry Marshall,M,100,USA,12-Nov-19,1960,Approved,134 min,"Comedy, Drama, Family",A young girl comes to an embittered town and confronts its attitude with her determination to see the best in life.
549,Disney Plus,movie,Olaf's Frozen Adventure,Rob LaDuca,M,63,Don Knotts,M,100,USA,12-Nov-19,2017,TV-G,22 min,"Animation, Short, Adventure, Comedy, Family, Fantasy, Musical","A Christmas-themed special featuring characters from Walt Disney Pictures' 53rd full-length animated motion picture, ""Frozen (2013)""."
602,Disney Plus,movie,Pooh's Heffalump Movie,Frank Marshall,M,73,Patrick Stewart,M,79,USA,12-Nov-19,2005,TV-G,68 min,"Animation, Comedy, Family, Fantasy, Musical, Mystery","A Heffalump is heard trumpeting in the hundred acre woods. Winnie the Pooh, Tigger, and Piglet are scared and rush to Rabbit's house for advice. Roo joins them and they all agree that ..."
739,Disney Plus,movie,The Black Hole,Lev L. Spiro,M,68,Lindsay Lohan,F,33,USA,12-Nov-19,1979,TV-PG,98 min,"Action, Sci-Fi","A research vessel finds a missing ship, commanded by a mysterious scientist, on the edge of a black hole."
779,Disney Plus,movie,The Journey of Natty Gann,Stuart Gillard,M,70,Michael Keaton,M,68,USA,12-Nov-19,1985,TV-PG,101 min,"Adventure, Family","In the 1930s, a tomboy runs away from her guardian to join her single father who is 2,000 miles away, where he has found work."
300,Disney Plus,movie,Genius,David Swift,M,100,Matt Dillon,M,56,USA,12-Nov-19,1999,TV-G,82 min,"Comedy, Family, Romance, Sci-Fi",Charlie Boyle finds that even his high IQ can't solve all of his problems when he takes on a double life in order to make friends his own age.
883,Disney Plus,movie,Tinker Bell and the Lost Treasure,Kevin Deters,M,49,Breckin Meyer,M,46,USA,12-Nov-19,2009,TV-G,81 min,"Animation, Adventure, Family, Fantasy",Tinker Bell journey far North of Never Land to patch things up with her friend Terence and restore a Pixie Dust Tree.
778,Disney Plus,movie,The Incredibles,Stevie Wermers,M,54,Kyla Pratt,F,33,USA,12-Nov-19,2004,TV-PG,115 min,"Animation, Action, Adventure, Family","A family of undercover superheroes, while trying to live the quiet suburban life, are forced into action to save the world."
118,Disney Plus,movie,Cinderella 2: Dreams Come True,Frank Nissen,M,70,Tommy Davidson,M,56,USA,12-Nov-19,2001,TV-G,73 min,"Animation, Family, Fantasy, Romance","Jaq and Gus create a storybook based on three events that happened after the first film. The stories include Cinderella's opposition to the court's strict etiquette, Jaq's becoming human for a day, and Anastasia's redemption through love."
475,Disney Plus,movie,Iron Man 2,Gary Nelson,M,86,Paula Jai Parker,F,50,USA,12-Nov-19,2010,PG-13,124 min,"Action, Adventure, Sci-Fi","With the world now aware of his identity as Iron Man, Tony Stark must contend with both his declining health and a vengeful mad man with ties to his father's legacy."
590,Disney Plus,movie,Pixel Perfect,Jeremy Kagan,M,74,Jo Marie Payton,F,69,USA,12-Nov-19,2004,TV-G,85 min,"Family, Sci-Fi, Comedy, Fantasy, Music",A teen uses a holograph to create a pop star for his friend's band.
92,Disney Plus,movie,Cars,Rod Daniel,M,100,Albert Sharpe,M,100,USA,12-Nov-19,2006,TV-G,117 min,"Animation, Comedy, Family, Sport","A hot-shot race-car named Lightning McQueen gets waylaid in Radiator Springs, where he finds the true meaning of friendship and family."
738,Disney Plus,movie,The Black Cauldron,Klay Hall,M,61,Janet Munro,F,100,"USA, UK",12-Nov-19,1985,TV-PG,80 min,"Animation, Action, Adventure, Family, Fantasy, Horror",A young boy and a bunch of misfit friends embark on a quest to find a dark magic item of ultimate power before a diabolical tyrant can.
120,Disney Plus,movie,Clock Cleaners,Brad Bird,M,62,Sean Connery,M,89,USA,12-Nov-19,1937,Approved,9 min,"Family, Comedy, Animation, Short","Mickey, Donald, and Goofy are cleaning a large clock. Among the complications: Mickey fights a sleeping stork that doesn't want to leave, Donald gets tangled up in the main-spring, and Goofy is inside the bell when the clock strikes four."
326,Disney Plus,movie,Hannah Montana and Miley Cyrus: Best of Both Worlds Concert,John Kafka,M,67,Jimmy O'Dea,F,100,USA,12-Nov-19,2008,TV-G,74 min,"Documentary, Music",A 3-D concert film of the 2007 Hannah Montana/Miley Cyrus tour.
621,Disney Plus,movie,Return from Witch Mountain,Jon Favreau,M,53,Pinto Colvig,M,100,USA,12-Nov-19,1978,TV-G,95 min,"Family, Adventure, Sci-Fi, Fantasy","Tia and Tony visit Los Angeles, but he's quickly kidnapped by an evil scientist, leaving her to desperately search for him."
464,Disney Plus,movie,Avengers: Age of Ultron,Rocky Soraya,M,43,Walt Disney,M,100,USA,12-Nov-19,2015,PG-13,141 min,"Action, Adventure, Sci-Fi","When Tony Stark and Bruce Banner try to jump-start a dormant peacekeeping program called Ultron, things go horribly wrong and it's up to Earth's mightiest heroes to stop the villainous Ultron from enacting his terrible plan."
811,Disney Plus,movie,The Other Me,John Lasseter,M,63,Clarence Nash,M,100,USA,12-Nov-19,2000,TV-G,90 min,"Comedy, Family, Sci-Fi",Will Browning accidentally creates a clone of himself when working on a science project.
441,Disney Plus,movie,Lou,Joe Ranft,M,100,Haley Joel Osment,M,32,USA,12-Nov-19,2017,TV-G,7 min,"Animation, Short, Comedy, Family, Fantasy",A Pixar short about a lost-and-found box and the unseen monster within.
